Catagory_Name,productName,productPrice,productSize,productType,productURL,imageUrl,prodId,skuId
Maybelline,Up To 24HR Longwear Cream Eyeshadow Makeup Trailblazer,$6.99,0.14 oz ,Eyeshadow,https://www.walgreens.com/store/c/maybelline-color-tattoo-up-to-24hr-longwear-cream-eyeshadow-makeup/ID=400393827-product,https://pics.drugstore.com/prodimg/614908/155.jpg,400393827,300614908
IsaDora,Stretch Lash Mascara 03 Dark Brown,$18.00,0.3 fl oz ,Mascara,https://www.walgreens.com/store/c/isadora-stretch-lash-mascara/ID=prod6370665-product?skuId=sku6311459,https://pics.drugstore.com/prodimg/602900/155.jpg,prod6370665,sku6311459
Milani,Most Wanted Lashes Black,$9.99,1 ea ,Mascara,https://www.walgreens.com/store/c/milani-most-wanted-lashes/ID=prod6395852-product,https://pics.drugstore.com/prodimg/611073/155.jpg,prod6395852,sku6325204
Eylure,Vegas Nay Lash Bronze Beauty,$12.99,2 ea ,False Eyelashes,https://www.walgreens.com/store/c/eylure-vegas-nay-lash-bronze-beauty/ID=prod6394108-product,https://pics.drugstore.com/prodimg/610887/155.jpg,prod6394108,sku6324248
Almay,Intense Liquid Liner Brown Topaz,$7.99,0.08 fl oz ,Eyeliner,https://www.walgreens.com/store/c/almay-intense-liquid-liner/ID=prod6393832-product,https://pics.drugstore.com/prodimg/611654/155.jpg,prod6393832,sku6323972
Black Radiance,Lash Lengthening Mascara Black,$3.49,0.27 oz ,Mascara,https://www.walgreens.com/store/c/black-radiance-lash-lengthening-mascara/ID=prod6303175-product,https://pics.drugstore.com/prodimg/571438/155.jpg,prod6303175,sku6256352
Revlon,Volumazing Mascara Blackest Black,$8.09,0.3 oz ,Mascara,https://www.walgreens.com/store/c/revlon-volumazing-mascara/ID=300391385-product,https://pics.drugstore.com/prodimg/605692/155.jpg,300391385,sku6316652
NYX Professional Makeup,Micro Brow Pencil Ash Brown,$9.99,0 oz ,Eyebrow Makeup,https://www.walgreens.com/store/c/nyx-professional-makeup-micro-brow-pencil/ID=300408763-product,https://pics.drugstore.com/prodimg/591498/155.jpg,300408763,sku6289107
Milani,Most Wanted Palettes Burning Desire,$9.99,0.21 oz ,Eyeshadow,https://www.walgreens.com/store/c/milani-most-wanted-palettes/ID=300398995-product,https://pics.drugstore.com/prodimg/620315/155.jpg,300398995,400620315
CoverGirl,Uncensored Mascara Black Brown,$11.99,0.3 oz ,Mascara,https://www.walgreens.com/store/c/covergirl-uncensored-mascara/ID=300398554-product,https://pics.drugstore.com/prodimg/619409/155.jpg,300398554,400619409
CoverGirl,Brow Powder Kit Rich Brown,$8.39,0.01 oz ,Eyebrow Makeup,https://www.walgreens.com/store/c/covergirl-brow-powder-kit/ID=300409455-product,https://pics.drugstore.com/prodimg/599709/155.jpg,300409455,sku6292437
NYX Professional Makeup,On The Rise Volume Mascara Black,$11.00,1 ea ,Mascara,https://www.walgreens.com/store/c/nyx-professional-makeup-on-the-rise-volume-mascara/ID=300396104-product,https://pics.drugstore.com/prodimg/617205/155.jpg,300396104,400617205
CoverGirl,Eyeshadow Quads Zenning Out,$10.99,0.06 Oz ,Eyeshadow,https://www.walgreens.com/store/c/covergirl-trunaked-eyeshadow-quads/ID=300403243-product,https://pics.drugstore.com/prodimg/624565/155.jpg,300403243,400624565
Pixi,Lower Lash Mascara Black Detail,$11.00,0.11 oz ,Mascara,https://www.walgreens.com/store/c/pixi-lower-lash-mascara/ID=300399004-product,https://pics.drugstore.com/prodimg/620331/155.jpg,300399004,400620331
Pixi,Lower Lash Mascara Black Detail,$11.00,0.11 oz ,Mascara,https://www.walgreens.com/store/c/pixi-lower-lash-mascara/ID=300399004-product,https://pics.drugstore.com/prodimg/620331/155.jpg,300399004,400620331
Coola,Classic Face Organic Sunscreen Lotion SPF 30 Cucumber,$32.00,1.7 oz ,Sunscreen,https://www.walgreens.com/store/c/coola-classic-face-organic-sunscreen-lotion-spf-30-cucumber/ID=300398771-product,https://pics.drugstore.com/prodimg/619993/155.jpg,300398771,400619993
Rimmel,Wonder'Fully Real Mascara Extreme Black,$7.79,0.37 oz ,Mascara,https://www.walgreens.com/store/c/rimmel-wonder'fully-real-mascara/ID=prod6382528-product,https://pics.drugstore.com/prodimg/606936/155.jpg,prod6382528,sku6318078
CoverGirl,So Lashy! blastPRO Mascara Intense Black,$9.09,0.44 oz ,Mascara,https://www.walgreens.com/store/c/covergirl-so-lashy!-blastpro-mascara/ID=prod6406506-product?skuId=sku6283627,https://pics.drugstore.com/prodimg/589413/155.jpg,prod6406506,sku6283627
Rimmel,Magnif'eyes Eyeshadow Palette Wow,$8.99,0.5 oz ,Eyeshadow,https://www.walgreens.com/store/c/rimmel-magnif'eyes-eyeshadow-palette/ID=prod6394156-product,https://pics.drugstore.com/prodimg/614040/155.jpg,prod6394156,sku6324296
Revlon,Volumazing Mascara Blackened Brown,$8.09,0.3 fl oz ,Mascara,https://www.walgreens.com/store/c/revlon-volumazing-mascara/ID=300389697-product?skuId=sku6316654,https://pics.drugstore.com/prodimg/605626/155.jpg,300389697,sku6316654
Almay,Brow Pencil Universal Taupe,$8.49,0.01 oz ,Eyebrow Makeup,https://www.walgreens.com/store/c/almay-brow-pencil/ID=prod6393697-product,https://pics.drugstore.com/prodimg/611650/155.jpg,prod6393697,sku6323837
Revlon,ColorStay Exactify Liquid Liner 1 103 Mulberry,$10.79,0.34 oz ,Eyeliner,https://www.walgreens.com/store/c/revlon-colorstay-exactify-liquid-liner-1/ID=prod6369708-product?skuId=sku6311124,https://pics.drugstore.com/prodimg/602775/155.jpg,prod6369708,sku6311124
CoverGirl,Mascara Primer Off White,$9.99,0.3 fl oz ,Mascara,https://www.walgreens.com/store/c/covergirl-exhibitionist-mascara-primer/ID=300394445-product,https://pics.drugstore.com/prodimg/615565/155.jpg,300394445,400615565
